,store_id,store_id_only_num,store_name,booking,receipt,blog,total
2962,s20904708,20904708,진선미미용실,1.0,1.0,1.0,3.0
2963,s18765802,18765802,한혜준 헤어,1.0,1.0,1.0,3.0
2964,s31936475,31936475,하모니헤어,1.0,1.0,1.0,3.0
2965,s1230365400,1230365400,온스타일헤어,1.0,1.0,1.0,3.0
2966,s17996923,17996923,JK작품헤어본점,1.0,1.0,1.0,3.0
2967,s894732208,894732208,헤어카페,1.0,1.0,1.0,3.0
2968,s1268797784,1268797784,상아 헤어,1.0,1.0,1.0,3.0
2969,s1570574192,1570574192,끌레도르헤어,1.0,1.0,1.0,3.0
2970,s20648820,20648820,창동 첼로미용실,1.0,1.0,1.0,3.0
2971,s36871060,36871060,헤어프롬제이,1.0,1.0,1.0,3.0
2972,s36898653,36898653,리볼브헤어,1.0,1.0,1.0,3.0
2973,s1898236424,1898236424,이미지헤어,1.0,1.0,1.0,3.0
2974,s739287570,739287570,살롱드제이헤어,1.0,1.0,1.0,3.0
2975,s819556560,819556560,루시르헤어,1.0,1.0,1.0,3.0
2976,s1232595052,1232595052,마리플러스 프리미엄 헤어샵,1.0,1.0,1.0,3.0
2977,s504896830,504896830,헤어벙커,1.0,1.0,1.0,3.0
2978,s21848558,21848558,태후사랑 신대방점,1.0,1.0,1.0,3.0
2979,s1279280064,1279280064,리아르떼 헤어,1.0,1.0,1.0,3.0
2980,s1771262386,1771262386,늘솜헤어,1.0,1.0,1.0,3.0
2981,s1454457917,1454457917,에이원미용실,1.0,1.0,1.0,3.0
2982,s36208752,36208752,에이원헤어,1.0,1.0,1.0,3.0
2983,s37559216,37559216,벨라헤어,1.0,1.0,1.0,3.0
2984,s1178806914,1178806914,민헤어,1.0,1.0,1.0,3.0
2985,s35554436,35554436,율헤어,1.0,1.0,1.0,3.0
2986,s20857325,20857325,헤어공감,1.0,1.0,1.0,3.0
2987,s18625438,18625438,어울림,1.0,1.0,1.0,3.0
2988,s1277661175,1277661175,맨투맨,1.0,1.0,1.0,3.0
2989,s1099620151,1099620151,헤어코디,1.0,1.0,1.0,3.0
2990,s1607257519,1607257519,연지헤어,1.0,1.0,1.0,3.0
2991,s38425012,38425012,맨투맨,1.0,1.0,1.0,3.0
2992,s21688867,21688867,위드스타일헤어,1.0,1.0,1.0,3.0
2993,s34907894,34907894,살롱에스,1.0,1.0,1.0,3.0
